source,target,type,distance,speed,delay,price_rate,duration,price
belo_horizonte,vitoria,train,664,50,1,0.09,14.28,59.76
macapa,belem,water,339,12,1,0.7,29.25,237.29999999999998
manaus,coari,water,370,52,1,0.7,8.115384615384615,259.0
manaus,santarem,water,740,24,1,0.7,31.833333333333332,518.0
coari,tefe,water,212,70,1,0.7,4.0285714285714285,148.39999999999998
tefe,tabatinga,water,942,27,1,0.7,35.888888888888886,659.4
itaituba,santarem,water,273,39,1,0.7,8.0,191.1
natal,fernando_de_noronha,water,374,12,1,0.7,32.16666666666667,261.8
brasilia,salvador,air,1084,860,2,2.1,3.26046511627907,2276.4
brasilia,fortaleza,air,1686,860,2,1.96,3.96046511627907,3304.56
brasilia,manaus,air,1942,860,2,1.46,4.258139534883721,2835.3199999999997
recife,fortaleza,air,626,860,2,4.96,2.727906976744186,3104.96
macapa,belem,air,207,860,2,4.77,2.2406976744186045,987.3899999999999
sao_paulo,florianopolis,air,495,860,2,6.25,2.5755813953488373,3093.75
brasilia,belem,air,1606,860,2,1.27,3.8674418604651164,2039.6200000000001
rio_de_janeiro,belo_horizonte,air,373,860,2,4.98,2.433720930232558,1857.5400000000002
fortaleza,sao_luis,air,652,860,2,3.56,2.7581395348837208,2321.12
belo_horizonte,vitoria,air,380,860,2,5.75,2.441860465116279,2185.0
sao_paulo,brasilia,air,875,860,2,2.81,3.0174418604651163,2458.75
sao_paulo,belo_horizonte,air,517,860,2,2.95,2.6011627906976744,1525.15
manaus,porto_velho,air,768,860,2,5.92,2.8930232558139535,4546.5599999999995
florianopolis,porto_alegre,air,375,860,2,4.98,2.436046511627907,1867.5000000000002
sao_luis,belem,air,481,860,2,2.25,2.5593023255813954,1082.25
natal,fernando_de_noronha,air,374,860,2,11.22,2.4348837209302325,4196.280000000001
brasilia,cuiaba,air,877,860,2,2.15,3.0197674418604654,1885.55
brasilia,porto_velho,air,1904,860,2,0.73,4.213953488372093,1389.92
brasilia,rio_branco,air,2249,860,2,1.34,4.615116279069767,3013.6600000000003
sao_paulo,campo_grande,air,891,860,2,2.41,3.036046511627907,2147.31
sao_paulo,rio_de_janeiro,air,360,860,2,7.54,2.4186046511627906,2714.4
sao_paulo,fortaleza,air,2371,860,2,0.57,4.756976744186046,1351.4699999999998
salvador,recife,air,670,860,2,2.01,2.7790697674418605,1346.6999999999998
belem,manaus,air,1289,860,2,2.04,3.4988372093023257,2629.56
curitiba,florianopolis,road,307,100,1,0.3,4.07,92.1
curitiba,cascavel,road,504,100,1,0.3,6.04,151.2
florianopolis,chapeco,road,562,100,1,0.3,6.62,168.6
manaus,rorainopolis,road,488,100,1,0.3,5.88,146.4
belem,imperatriz,road,580,100,1,0.3,6.8,174.0
teresina,juazeiro_do_norte,road,1128,100,1,0.3,12.28,338.4
salvador,ibotirama,road,655,100,1,0.3,7.55,196.5
rio_de_janeiro,campos_dos_goytacazes,road,278,100,1,0.3,3.78,83.39999999999999
sao_paulo,belo_horizonte,road,583,100,1,0.3,6.83,174.9
brasilia,montes_claros,road,700,100,1,0.3,8.0,210.0
tarauaca,cruzeiro_do_sul,road,228,100,1,0.3,3.28,68.39999999999999
belem,santarem,road,1167,100,1,0.3,12.67,350.09999999999997
maceio,juazeiro_do_norte,road,606,100,1,0.3,7.06,181.79999999999998
parauapebas,santarem,road,1073,100,1,0.3,11.73,321.9
aracaju,petrolina,road,478,100,1,0.3,5.78,143.4
vitoria,belo_horizonte,road,514,100,1,0.3,6.14,154.2
ibotirama,petrolina,road,709,100,1,0.3,8.09,212.7
manaus,porto_velho,road,889,100,1,0.3,9.89,266.7
rio_verde,cuiaba,road,701,100,1,0.3,8.01,210.29999999999998
ji_parana,vilhena,road,334,100,1,0.3,4.34,100.2
guiana_francesa,oiapoque,road,194,100,1,0.3,2.94,58.199999999999996
santa_maria,chapeco,road,401,100,1,0.3,5.01,120.3
palmas,imperatriz,road,628,100,1,0.3,7.28,188.4
suriname,guiana_francesa,road,397,100,1,0.3,4.970000000000001,119.1
fortaleza,sobral,road,243,100,1,0.3,3.43,72.89999999999999
aruana,palmas,road,764,100,1,0.3,8.64,229.2
cuiaba,rondonopolis,road,216,100,1,0.3,3.16,64.8
itaituba,parauapebas,road,1156,100,1,0.3,12.56,346.8
confresa,palmas,road,583,100,1,0.3,6.83,174.9
rorainopolis,boa_vista,road,260,100,1,0.3,3.6,78.0
vitoria,itamaraju,road,436,100,1,0.3,5.36,130.79999999999998
rio_de_janeiro,sao_paulo,road,444,100,1,0.3,5.44,133.2
cascavel,dourados,road,411,100,1,0.3,5.11,123.3
uberlandia,campo_grande,road,760,100,1,0.3,8.6,228.0
porto_alegre,chapeco,road,454,100,1,0.3,5.54,136.2
rio_branco,tarauaca,road,409,100,1,0.3,5.09,122.69999999999999
teresina,imperatriz,road,614,100,1,0.3,7.14,184.2
vitoria,campos_dos_goytacazes,road,241,100,1,0.3,3.41,72.3
goiania,brasilia,road,208,100,1,0.3,3.08,62.4
aruana,sinop,road,998,100,1,0.3,10.98,299.4
mossoro,teresina,road,826,100,1,0.3,9.26,247.79999999999998
natal,caico,road,272,100,1,0.3,3.72,81.6
sao_paulo,londrina,road,537,100,1,0.3,6.37,161.1
curitiba,londrina,road,388,100,1,0.3,4.88,116.39999999999999
cuiaba,aruana,road,780,100,1,0.3,8.8,234.0
cuiaba,vilhena,road,754,100,1,0.3,8.54,226.2
belem,parauapebas,road,653,100,1,0.3,7.53,195.9
natal,joao_pessoa,road,181,100,1,0.3,2.81,54.3
florianopolis,porto_alegre,road,463,100,1,0.3,5.63,138.9
goiania,uberlandia,road,340,100,1,0.3,4.4,102.0
goiania,rio_verde,road,232,100,1,0.3,3.32,69.6
sao_luis,teresina,road,436,100,1,0.3,5.36,130.79999999999998
maceio,aracaju,road,500,100,1,0.3,6.0,150.0
belo_horizonte,brasilia,road,733,100,1,0.3,8.33,219.9
campo_grande,dourados,road,225,100,1,0.3,3.25,67.5
sao_luis,parnaiba,road,658,100,1,0.3,7.58,197.4
joao_pessoa,recife,road,116,100,1,0.3,2.16,34.8
ribeirao_preto,londrina,road,466,100,1,0.3,5.66,139.79999999999998
teresina,petrolina,road,641,100,1,0.3,7.41,192.29999999999998
natal,mossoro,road,279,100,1,0.3,3.79,83.7
recife,maceio,road,257,100,1,0.3,3.57,77.1
ibotirama,palmas,road,820,100,1,0.3,9.2,246.0
aruana,goiania,road,314,100,1,0.3,4.140000000000001,94.2
porto_velho,ji_parana,road,372,100,1,0.3,4.720000000000001,111.6
imperatriz,parauapebas,road,387,100,1,0.3,4.87,116.1
uberlandia,londrina,road,746,100,1,0.3,8.46,223.79999999999998
chapeco,cascavel,road,337,100,1,0.3,4.37,101.1
fortaleza,mossoro,road,241,100,1,0.3,3.41,72.3
cuiaba,sinop,road,480,100,1,0.3,5.8,144.0
sobral,parnaiba,road,244,100,1,0.3,3.44,73.2
salvador,itamaraju,road,740,100,1,0.3,8.4,222.0
belo_horizonte,montes_claros,road,425,100,1,0.3,5.25,127.5
belo_horizonte,uberlandia,road,537,100,1,0.3,6.37,161.1
ji_parana,sinop,road,996,100,1,0.3,10.96,298.8
caico,mossoro,road,189,100,1,0.3,2.8899999999999997,56.699999999999996
boa_vista,pacaraima,road,214,100,1,0.3,3.14,64.2
belem,sao_luis,road,582,100,1,0.3,6.82,174.6
ribeirao_preto,belo_horizonte,road,512,100,1,0.3,6.12,153.6
uberlandia,rio_verde,road,336,100,1,0.3,4.359999999999999,100.8
porto_alegre,pelotas,road,263,100,1,0.3,3.63,78.89999999999999
ibotirama,montes_claros,road,651,100,1,0.3,7.51,195.29999999999998
salvador,montes_claros,road,1009,100,1,0.3,11.09,302.7
brasilia,ibotirama,road,803,100,1,0.3,9.03,240.89999999999998
itaituba,sinop,road,998,100,1,0.3,10.98,299.4
sinop,confresa,road,636,100,1,0.3,7.36,190.79999999999998
porto_velho,manaus,road,889,100,1,0.3,9.89,266.7
caico,teresina,road,827,100,1,0.3,9.27,248.1
brasilia,palmas,road,845,100,1,0.3,9.45,253.5
cuiaba,rondonopolis,road,219,100,1,0.3,3.19,65.7
porto_alegre,santa_maria,road,290,100,1,0.3,3.9,87.0
confresa,parauapebas,road,731,100,1,0.3,8.309999999999999,219.29999999999998
juazeiro_do_norte,caico,road,323,100,1,0.3,4.23,96.89999999999999
londrina,campo_grande,road,589,100,1,0.3,6.89,176.7
teresina,parnaiba,road,338,100,1,0.3,4.38,101.39999999999999
palmas,parauapebas,road,704,100,1,0.3,8.04,211.2
ribeirao_preto,uberlandia,road,280,100,1,0.3,3.8,84.0
cascavel,londrina,road,380,100,1,0.3,4.8,114.0
cuiaba,campo_grande,road,707,100,1,0.3,8.07,212.1
macapa,oiapoque,road,578,100,1,0.3,6.78,173.4
sao_luis,imperatriz,road,632,100,1,0.3,7.32,189.6
juazeiro_do_norte,petrolina,road,348,100,1,0.3,4.48,104.39999999999999
rio_de_janeiro,belo_horizonte,road,441,100,1,0.3,5.41,132.29999999999998
sao_paulo,curitiba,road,402,100,1,0.3,5.02,120.6
santa_maria,pelotas,road,294,100,1,0.3,3.94,88.2
itaituba,porto_velho,road,1252,100,1,0.3,13.52,375.59999999999997
campo_grande,rio_verde,road,611,100,1,0.3,7.11,183.29999999999998
guiana,suriname,road,444,100,1,0.3,5.44,133.2
montes_claros,itamaraju,road,847,100,1,0.3,9.47,254.1
guiana,boa_vista,road,679,100,1,0.3,7.79,203.7
fortaleza,teresina,road,604,100,1,0.3,7.04,181.2
aracaju,salvador,road,325,100,1,0.3,4.25,97.5
rio_branco,porto_velho,road,510,100,1,0.3,6.1,153.0
joao_pessoa,caico,road,321,100,1,0.3,4.21,96.3
sao_paulo,ribeirao_preto,road,314,100,1,0.3,4.140000000000001,94.2
santarem,itaituba,road,368,100,1,0.3,4.68,110.39999999999999
